,Unnamed: 0,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_ENR,AVG_ENR,TOT_SATACT,VAL_SAT,VAL_WH,VAL_BL,VAL_HP,VAL_TR,VAL_HI,VAL_AS,VAL_AM,VAL_RACE,RACE_SCORE,VAL_GENDER,GENDER_SCORE,VAL_AP_COURSES,AP_SCORE,VAL_SATACT_COURSES,SATACT_SCORE,COURSES_SCORE,TOT_ARR,TOT_EXP,TOT_HARR,TOT_SUSP,VAL_OFFENSES,OFFENSES_SCORE,SCHOOL_SCORE,Race,Value,Gender,GenderValue
0,59388,NEW YORK,NY,NEW YORK CITY PUBLIC SCHOOLS,PS 295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,0,0,0,0,0,0,0,0,489,69.85714285714286,0,0.0,0.17820625182588373,0.09173239848086474,0.14285714285714288,0.09786736780601812,0.3254455156295647,0.03651767455448438,0.13467718375693838,0.143900504987271,5,0.05521472392638037,5,0.0,5,0.0,5,5,-10,0,0,0,-4.0,1,4,SCH_ENR_AS,52,TOT_ENR_M,258
1,67880,OHIO,OH,Northmont City Schools,Englewood Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,341,48.714285714285715,0,0.0,0.572685379136992,0.0184331797235023,0.14285714285714285,0.08713866778382907,0.1223292836196062,0.09593632174277336,0.14285714285714285,0.16889101681728408,5,0.13196480938416422,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,16,TOT_ENR_M,193
2,9359,CALIFORNIA,CA,Los Angeles Unified,Elysian Heights Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,34.857142857142854,0,0.0,0.021077283372365353,0.126463700234192,0.14285714285714285,0.126463700234192,0.5989461358313817,0.08957845433255268,0.13466042154566743,0.17714954834392774,5,0.11475409836065574,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,13,TOT_ENR_M,136
3,35851,KENTUCKY,KY,Oldham County,Buckner Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,77.0,0,0.0,0.7606679035250464,0.12430426716141002,0.14285714285714285,0.11873840445269017,0.11317254174397032,0.11873840445269017,0.14285714285714285,0.21733368672144185,4,0.0055658627087198514,5,0.0,5,0.0,5,5,0,0,0,2,0.2,5,4,SCH_ENR_AS,13,TOT_ENR_M,271
4,7470,CALIFORNIA,CA,El Monte Union High,Mountain View High,Yes,15,102,169,46,80,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1395,199.28571428571428,126,0.09032258064516129,0.13998975934459804,0.14285714285714285,0.13998975934459804,0.13998975934459804,0.8019457245263697,0.0991295442908346,0.13998975934459804,0.22912734986467703,4,0.0064516129032258064,5,0.19426523297491038,1,0.09032258064516129,1,1,2,2,2,0,1.8000000000000003,1,2,SCH_ENR_AS,61,TOT_ENR_M,693
5,17051,CONNECTICUT,CT,Stamford Charter School for E,Stamford Charter School for Excellence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,23.428571428571427,0,0.0,0.13066202090592333,0.5034843205574913,0.14285714285714285,0.14285714285714285,0.08275261324041813,0.02700348432055748,0.14285714285714285,0.16749626679940266,5,0.12195121951219512,5,0.0,5,0.0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_AS,19,TOT_ENR_M,92
6,87798,UTAH,UT,DAVIS DISTRICT,TAYLOR SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,53.142857142857146,0,0.0,0.6985407066052227,0.13748079877112135,0.13210445468509985,0.09984639016897082,0.06758832565284179,0.1240399385560676,0.13748079877112135,0.1995830590300636,5,0.17204301075268819,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,7,TOT_ENR_M,218
7,94372,WISCONSIN,WI,Gilmanton School District,Gilmanton Middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,7.285714285714286,0,0.0,0.8179271708683473,0.14285714285714285,0.14285714285714285,0.10364145658263305,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.23369347739095633,4,0.13725490196078433,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,3,SCH_ENR_AS,0,TOT_ENR_M,22
8,46674,MINNESOTA,MN,ROCHESTER PUBLIC SCHOOL DISTRICT,MAYO SENIOR HIGH,Yes,15,157,160,190,232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,226.28571428571428,422,0.26641414141414144,0.5358044733044733,0.03995310245310245,0.14159451659451658,0.12328643578643578,0.034271284271284265,0.0551046176046176,0.14159451659451658,0.15308699237270668,5,0.01893939393939394,5,0.20012626262626262,2,0.26641414141414144,2,2,0,0,2,0,0.6,3,3,SCH_ENR_AS,139,TOT_ENR_M,777
9,16226,COLORADO,CO,Harrison School District No. 2 in the county of El Paso an,FOX MEADOW MIDDLE SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,586,83.71428571428571,0,0.0,0.14553876157971724,0.012432959531935652,0.1257922964407606,0.05923939541686981,0.2735251097025841,0.11555338859093124,0.13091175036567526,0.12328480880406768,5,0.07167235494880546,5,0.0,5,0.0,5,5,0,4,0,0,0.8,2,4,SCH_ENR_AS,16,TOT_ENR_M,314
