,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_HI,VAL_HI,Score_HI,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AM,VAL_AM,Score_AM,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_M,TOT_HBREPORTED_SEX_F,TOT_HBREPORTED_DIS_M,TOT_HBREPORTED_DIS_F,TOT_HBREPORTED_RAC_M,TOT_HBREPORTED_RAC_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_SATACT,TOT_ENR,AVG_ENR,VAL_SAT
16978,CONNECTICUT,CT,Connecticut Technical High School System,A. I. Prince Technical High School,212,269,481,0.485901027,3,2,0,2,,,8,2,2,0,89,113,44,17,2,5,359,406,No,-9,-9,-9,113,130,0,4,4,0,0,7,0,0,0,0,0,0,56,37,6,4,6,2,0,0,9,0,0,0,0,0,0,0,243,765,109.2857143,0.317647059
16979,CONNECTICUT,CT,Connecticut Technical High School System,Bullard-Havens Technical High School,194,287,481,0.46832456,3,0,2,2,,,5,2,0,0,113,125,20,23,5,11,337,450,No,-9,-9,-9,133,187,0,0,0,0,0,0,0,0,0,0,0,0,16,14,2,2,4,4,2,0,6,2,0,0,0,0,0,0,320,787,112.4285714,0.40660737
16980,CONNECTICUT,CT,Connecticut Technical High School System,E. C. Goodwin Technical High School,170,194,364,0.428571429,3,2,0,2,,,8,2,0,0,23,11,158,53,5,11,366,271,No,-9,-9,-9,105,104,0,0,0,0,0,0,0,0,0,0,0,0,58,38,4,2,2,0,0,0,0,0,0,0,0,0,0,0,209,637,91,0.328100471
16981,CONNECTICUT,CT,Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,98,98,196,0.242211619,4,2,2,4,,,2,2,0,2,20,32,167,62,8,14,297,212,No,-9,-9,-9,98,58,0,0,0,0,0,0,0,0,0,0,0,0,26,22,9,4,5,2,2,0,2,0,0,0,0,0,0,0,156,509,72.71428571,0.306483301
16982,CONNECTICUT,CT,Connecticut Technical High School System,Eli Whitney Technical High School,152,146,298,0.395048994,4,2,0,2,,,2,0,0,0,107,89,32,14,5,5,300,254,Yes,2,9,9,78,93,0,0,0,0,0,0,0,0,0,0,0,0,42,21,6,4,4,2,2,0,0,2,0,0,0,0,0,0,171,554,79.14285714,0.30866426
16983,CONNECTICUT,CT,Connecticut Technical High School System,Emmett O'Brien Technical High School,80,65,145,0.108878968,5,2,2,4,0.135912698,5,2,2,0,0,26,29,218,122,17,11,345,231,No,-9,-9,-9,120,99,0,0,0,0,0,0,0,0,0,0,0,0,34,17,14,2,11,0,4,0,14,0,0,0,0,0,0,0,219,576,82.28571429,0.380208333
16984,CONNECTICUT,CT,Connecticut Technical High School System,H. C. Wilcox Technical High School,143,134,277,0.220659918,4,2,2,4,,,8,5,0,0,23,17,254,152,11,11,441,321,Yes,1,23,14,156,114,0,0,0,0,0,0,0,0,0,0,0,0,40,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,270,762,108.8571429,0.354330709
16985,CONNECTICUT,CT,Connecticut Technical High School System,H. H. Ellis Technical High School,14,11,25,0.102857143,5,8,0,8,0.130057143,5,2,2,0,2,0,5,389,164,17,11,430,195,No,-9,-9,-9,128,56,0,0,0,0,0,0,0,0,0,0,0,0,28,15,2,0,2,2,2,0,0,0,0,0,0,0,2,0,184,625,89.28571429,0.2944
16986,CONNECTICUT,CT,Connecticut Technical High School System,Henry Abbott Technical High School,140,125,265,0.271205357,4,0,2,2,,,5,5,0,0,14,8,224,92,17,8,400,240,No,-9,-9,-9,139,94,0,2,0,0,0,0,2,2,0,0,0,0,41,16,7,4,6,2,2,0,9,2,0,0,0,0,2,0,233,640,91.42857143,0.3640625
16987,CONNECTICUT,CT,Connecticut Technical High School System,Howell Cheney Technical High School,110,38,148,0.081385281,5,5,0,5,0.135281385,5,14,0,2,2,56,23,338,53,11,8,536,124,No,-9,-9,-9,165,35,4,4,2,0,6,0,17,2,2,2,0,0,67,20,17,4,4,4,2,0,4,0,0,0,0,0,2,0,200,660,94.28571429,0.303030303
16988,CONNECTICUT,CT,Connecticut Technical High School System,Norwich Technical High School,35,41,76,0.026471232,5,2,2,4,0.136731569,5,2,2,0,2,17,11,317,179,26,17,399,254,No,-9,-9,-9,125,79,2,10,0,0,0,0,0,2,0,0,0,0,47,23,5,2,4,2,0,0,4,2,0,0,0,0,0,0,204,653,93.28571429,0.312404288
16989,CONNECTICUT,CT,Connecticut Technical High School System,Oliver Wolcott Technical High School,20,32,52,0.063829787,5,2,2,4,0.136778116,5,0,2,0,0,2,5,359,224,5,5,388,270,No,-9,-9,-9,129,81,0,0,0,0,0,0,0,0,0,0,0,0,28,5,5,2,6,2,0,0,6,2,0,0,0,0,0,0,210,658,94,0.319148936
16990,CONNECTICUT,CT,Connecticut Technical High School System,Platt Technical High School,149,146,295,0.219996486,4,2,2,4,,,5,2,0,0,53,44,257,113,26,14,492,321,No,-9,-9,-9,160,107,0,0,0,0,0,0,0,0,0,0,0,0,47,26,9,6,6,6,2,0,2,4,0,0,0,0,0,2,267,813,116.1428571,0.328413284
16991,CONNECTICUT,CT,Connecticut Technical High School System,Vinal Technical High School,53,44,97,0.021271453,5,2,0,2,0.139473048,5,5,2,2,0,26,29,311,80,23,14,422,169,No,-9,-9,-9,137,58,0,0,0,0,0,0,0,0,0,0,0,0,25,14,9,2,2,0,0,0,2,0,0,0,0,0,0,0,195,591,84.42857143,0.329949239
16992,CONNECTICUT,CT,Connecticut Technical High School System,W. F. Kaynor Technical High School,101,107,208,0.130827068,5,2,2,4,0.137593985,5,8,5,2,2,35,47,263,158,11,17,422,338,No,-9,-9,-9,153,135,2,0,0,0,0,0,2,0,0,0,0,0,35,29,6,0,2,4,2,0,2,0,0,0,0,0,0,0,288,760,108.5714286,0.378947368
16993,CONNECTICUT,CT,Connecticut Technical High School System,Windham Technical High School,80,86,166,0.192496392,5,2,0,2,0.138816739,5,0,0,0,0,5,2,230,74,8,8,325,170,No,-9,-9,-9,91,74,0,0,0,0,0,0,0,0,0,0,0,0,61,10,13,4,0,0,0,0,0,0,0,0,0,0,0,0,165,495,70.71428571,0.333333333
16994,CONNECTICUT,CT,Connecticut Technical High School System,J. M. Wright Technical High School,56,56,112,0.30875576,4,0,0,0,,,2,2,0,0,17,41,53,14,5,2,133,115,No,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,4,4,4,2,2,0,2,0,0,0,0,0,0,0,0,248,35.42857143,0
16995,CONNECTICUT,CT,Connecticut Technical High School System,Bristol Technical Education Center,8,0,8,0.05952381,5,2,0,2,0.12202381,5,0,0,2,0,2,2,71,5,2,2,87,9,No,-9,-9,-9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,96,13.71428571,0.041666667
16996,CONNECTICUT,CT,UNIFIED SCHOOL DISTRICT #1,Manson Youth Institution,11,0,11,0.003809524,5,0,0,0,0.142857143,5,0,0,0,0,59,0,5,0,0,0,75,0,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,-9,-9,-9,0,75,10.71428571,0
16997,CONNECTICUT,CT,UNIFIED SCHOOL DISTRICT #1,York Correctional Institution,0,0,,,,0,2,,,,0,0,0,0,0,0,0,0,0,0,0,2,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
16998,CONNECTICUT,CT,UNIFIED SCHOOL DISTRICT #2,Children's Place School,5,0,5,0.01843318,5,0,0,0,0.142857143,5,2,0,0,0,8,0,14,0,2,0,31,0,No,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.428571429,0
16999,CONNECTICUT,CT,UNIFIED SCHOOL DISTRICT #2,Riverview School,5,14,19,0.158730159,5,0,0,0,0.142857143,5,0,2,0,0,5,5,5,23,2,2,17,46,No,-9,-9,-9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,63,9,0.126984127
17000,CONNECTICUT,CT,UNIFIED SCHOOL DISTRICT #2,Walter G. Cady School,17,2,19,0.202597403,4,0,0,0,,,0,0,0,0,29,2,5,0,0,0,51,4,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,-9,-9,-9,-9,0,55,7.857142857,0
17001,CONNECTICUT,CT,REGIONAL SCHOOL DISTRICT 19,E. O. Smith High School,38,56,94,0.061118012,5,2,2,4,0.139378882,5,29,26,2,2,14,8,446,506,8,11,539,611,Yes,7,40,52,198,222,0,6,0,0,0,0,4,0,0,0,0,0,10,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,420,1150,164.2857143,0.365217391
17002,CONNECTICUT,CT,REGIONAL SCHOOL DISTRICT 19,E.O. Smith High School at the Depot Campus,2,2,4,0.017857143,5,0,0,0,0.142857143,5,0,0,0,0,0,2,8,14,2,2,12,20,No,-9,-9,-9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,32,4.571428571,0.125
17003,CONNECTICUT,CT,REGIONAL SCHOOL DISTRICT 19,PM Panthers,2,2,4,0,5,0,0,0,0.142857143,5,0,0,0,0,0,2,11,11,0,0,13,15,No,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0
17004,CONNECTICUT,CT,JUMOKE ACADEMY DISTRICT,Jumoke Academy,14,20,34,0.096849024,5,2,2,4,0.137444423,5,2,2,0,0,317,374,2,0,2,2,339,400,Yes,7,5,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,55,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,739,105.5714286,0.0135318
17005,CONNECTICUT,CT,ODYSSEY COMMUNITY SCHOOL DIST,Odyssey Community School,26,23,,,,0,0,,,,20,23,0,0,35,29,77,71,11,14,169,160,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
17006,CONNECTICUT,CT,INTEGRATED DAY CHARTER SCHOOL,Integrated Day Charter School,20,23,,,,0,2,,,,14,20,0,0,14,11,107,83,11,23,166,162,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
17007,CONNECTICUT,CT,INTRDIST SCH FOR ARTS AND COM,Interdistrict School For Arts And Communication,68,62,,,,2,2,,,,2,2,0,2,23,23,26,35,14,14,135,140,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,12,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
17008,CONNECTICUT,CT,COMMON GROUND HIGH SCHOOL DIS,Common Ground High School,35,23,58,0.170656371,5,0,0,0,0.142857143,5,2,2,0,0,41,23,26,26,5,2,109,76,Yes,2,11,23,26,17,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,43,185,26.42857143,0.232432432
