,Unnamed: 0,Unnamed: 0.1,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_ENR,AVG_ENR,TOT_SATACT,VAL_SAT,VAL_WH,VAL_BL,VAL_HP,VAL_TR,VAL_HI,VAL_AS,VAL_AM,VAL_RACE,RACE_SCORE,VAL_GENDER,GENDER_SCORE,VAL_AP_COURSES,AP_SCORE,VAL_SATACT_COURSES,SATACT_SCORE,COURSES_SCORE,TOT_ARR,TOT_EXP,TOT_HARR,TOT_SUSP,VAL_OFFENSES,OFFENSES_SCORE,SCHOOL_SCORE,Race,Value,Gender,GenderValue,PRIORITY
130,130,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_AS,22,TOT_ENR_M,358,1
730,730,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_BL,259,TOT_ENR_M,358,3
1330,1330,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_HP,0,TOT_ENR_M,358,5
1930,1930,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_WH,196,TOT_ENR_M,358,7
2530,2530,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_TR,46,TOT_ENR_M,358,9
3130,3130,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_HI,172,TOT_ENR_M,358,11
3730,3730,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_AM,0,TOT_ENR_M,358,13
4330,4330,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_AS,22,TOT_ENR_F,337,2
4930,4930,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_BL,259,TOT_ENR_F,337,4
5530,5530,89117,VIRGINIA,VA,CHESTERFIELD CO PBLC SCHS,A M DAVIS ELEM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,695,99.28571429,0,0,0.139157246,0.229804728,0.142857143,0.076670092,0.104624872,0.111202467,0.142857143,0.135310527,5,0.030215827,5,0,5,0,5,5,0,0,0,2,0.2,5,5,SCH_ENR_HP,0,TOT_ENR_F,337,6
